# Regular temperaments, one per line, as
#
#   name | subgroup | commas
#
# where the third field is a list of commas separated by spaces or commas, or
# else `et N` for the equal temperament of N divisions of the octave. Blank
# lines and everything after a `#` are ignored.
#
# This list is read by `cargo run --example notations`, which derives a
# notation for each entry.

# equal temperaments
5et                 | 2.3.5      | et 5
7et                 | 2.3.5      | et 7
12et                | 2.3.5      | et 12
15et                | 2.3.5      | et 15
19et                | 2.3.5      | et 19
22et                | 2.3.5.7    | et 22
24et                | 2.3.5.11   | et 24
31et                | 2.3.5.7    | et 31
34et                | 2.3.5      | et 34
41et                | 2.3.5.7.11 | et 41
53et                | 2.3.5      | et 53
72et                | 2.3.5.7.11 | et 72

# meantone family
meantone            | 2.3.5      | 81/80
septimal meantone   | 2.3.5.7    | 81/80, 126/125
huygens             | 2.3.5.7.11 | 81/80, 126/125, 99/98
flattone            | 2.3.5.11   | 45/44, 81/80

# 5-limit basics
schismatic          | 2.3.5   | 32805/32768
magic               | 2.3.5   | 3125/3072
tetracot            | 2.3.5   | 20000/19683
porcupine           | 2.3.5   | 250/243
diaschismic         | 2.3.5   | 2048/2025
kleismic            | 2.3.5   | 15625/15552

# 2.3.7
archytas            | 2.3.7   | 64/63
semaphore           | 2.3.7   | 49/48
slendric            | 2.3.7   | 1029/1024

# 2.3.11
rastmic             | 2.3.11  | 243/242

# 7-limit
magic               | 2.3.5.7 | 225/224, 3125/3072
pajara              | 2.3.5.7 | 50/49, 64/63
mothra              | 2.3.5.7 | 81/80, 1029/1024
rodan               | 2.3.5.7 | 245/243, 1029/1024

# 11-limit
miracle             | 2.3.5.7.11 | 225/224, 1029/1024, 385/384

# Rank 3
marvel    | 2.3.5.7    | 225/224
pele      | 2.3.5.7.11 | 441/440, 896/891

# stupid edge cases
bug       | 2.3.5 | 27/25
blackwood11 | 2.3.5.7.11 | 16/15, 21/20, 36/35
